⚡ HETERO GROUP (CPU+GPU) 6-HOUR BURN STARTED
PID: 1502812
Time: 1772967296
Architecture: CPU(GridWorld+Curiosity+Rhythm) + GPU(SNN)
✅ GPU Layer Initialized
✅ CPU Layer Initialized
[2h52m] Steps: 1003315, Energy: 0.61, Reward: 12006.06
[2h53m] Steps: 1009148, Energy: 0.60, Reward: 12074.42
[2h54m] Steps: 1014979, Energy: 0.59, Reward: 12142.75
[2h55m] Steps: 1020817, Energy: 0.59, Reward: 12211.16
[2h56m] Steps: 1026651, Energy: 0.58, Reward: 12279.53
[2h57m] Steps: 1032477, Energy: 0.57, Reward: 12347.80
[2h58m] Steps: 1038302, Energy: 0.56, Reward: 12416.07
[2h59m] Steps: 1044128, Energy: 0.55, Reward: 12484.34
[3h0m] Steps: 1049954, Energy: 0.54, Reward: 12552.61
[3h1m] Steps: 1055784, Energy: 0.54, Reward: 12620.93
[3h2m] Steps: 1061615, Energy: 0.53, Reward: 12689.27
[3h3m] Steps: 1067443, Energy: 0.52, Reward: 12757.56
[3h4m] Steps: 1073272, Energy: 0.51, Reward: 12825.87
[3h5m] Steps: 1079101, Energy: 0.50, Reward: 12894.18
[3h6m] Steps: 1084931, Energy: 0.49, Reward: 12962.50
[3h7m] Steps: 1090757, Energy: 0.48, Reward: 13030.77
[3h8m] Steps: 1096596, Energy: 0.48, Reward: 13099.20
[3h9m] Steps: 1102431, Energy: 0.47, Reward: 13167.58
[3h10m] Steps: 1108261, Energy: 0.46, Reward: 13235.90
[3h11m] Steps: 1114089, Energy: 0.45, Reward: 13304.20
[3h12m] Steps: 1119915, Energy: 0.44, Reward: 13372.47
[3h13m] Steps: 1125742, Energy: 0.43, Reward: 13440.75
[3h14m] Steps: 1131571, Energy: 0.43, Reward: 13509.06
[3h15m] Steps: 1137402, Energy: 0.42, Reward: 13577.39
[3h16m] Steps: 1143236, Energy: 0.41, Reward: 13645.76
[3h17m] Steps: 1149067, Energy: 0.40, Reward: 13714.09
[3h18m] Steps: 1154898, Energy: 0.39, Reward: 13782.43
[3h19m] Steps: 1160721, Energy: 0.38, Reward: 13850.66
[3h20m] Steps: 1166551, Energy: 0.38, Reward: 13918.98
[3h21m] Steps: 1172382, Energy: 0.37, Reward: 13987.32
[3h22m] Steps: 1178217, Energy: 0.36, Reward: 14055.70
[3h23m] Steps: 1184043, Energy: 0.35, Reward: 14123.97
[3h24m] Steps: 1189871, Energy: 0.34, Reward: 14192.27
[3h25m] Steps: 1195694, Energy: 0.33, Reward: 14260.50
[3h26m] Steps: 1201527, Energy: 0.33, Reward: 14328.86
[3h27m] Steps: 1207366, Energy: 0.32, Reward: 14397.29
[3h28m] Steps: 1213198, Energy: 0.31, Reward: 14465.63
[3h29m] Steps: 1219025, Energy: 0.30, Reward: 14533.91
[3h30m] Steps: 1224858, Energy: 0.30, Reward: 14602.27
[3h31m] Steps: 1230686, Energy: 0.29, Reward: 14670.57
[3h32m] Steps: 1236524, Energy: 0.28, Reward: 14738.98
[3h33m] Steps: 1242360, Energy: 0.27, Reward: 14807.37
[3h34m] Steps: 1248190, Energy: 0.27, Reward: 14875.69
[3h35m] Steps: 1254024, Energy: 0.26, Reward: 14944.06
[3h36m] Steps: 1259853, Energy: 0.25, Reward: 15012.37
[3h37m] Steps: 1265686, Energy: 0.24, Reward: 15080.72
[3h38m] Steps: 1271516, Energy: 0.24, Reward: 15149.04
[3h39m] Steps: 1277347, Energy: 0.23, Reward: 15217.38
