⚡ CONTROL GROUP (CPU-ONLY) 6-HOUR BURN STARTED
PID: 1477059
Time: 1772967034
Mode: Pure CPU Izhikevich SNN (No GPU)
✅ CPU SNN Initialized: 10000 neurons
[4h59m] Steps: 1779618, v_avg: -70.00
[5h0m] Steps: 1785571, v_avg: -70.00
[5h1m] Steps: 1791524, v_avg: -70.00
[5h2m] Steps: 1797477, v_avg: -70.00
[5h3m] Steps: 1803429, v_avg: -70.00
[5h4m] Steps: 1809382, v_avg: -70.00
[5h5m] Steps: 1815335, v_avg: -70.00
[5h6m] Steps: 1821289, v_avg: -70.00
[5h7m] Steps: 1827242, v_avg: -70.00
[5h8m] Steps: 1833196, v_avg: -70.00
[5h9m] Steps: 1839150, v_avg: -70.00
[5h10m] Steps: 1845103, v_avg: -70.00
[5h11m] Steps: 1851057, v_avg: -70.00
[5h12m] Steps: 1857012, v_avg: -70.00
[5h13m] Steps: 1862965, v_avg: -70.00
[5h14m] Steps: 1868917, v_avg: -70.00
[5h15m] Steps: 1874871, v_avg: -70.00
[5h16m] Steps: 1880825, v_avg: -70.00
[5h17m] Steps: 1886776, v_avg: -70.00
[5h18m] Steps: 1892730, v_avg: -70.00
[5h19m] Steps: 1898682, v_avg: -70.00
[5h20m] Steps: 1904635, v_avg: -70.00
[5h21m] Steps: 1910588, v_avg: -70.00
[5h22m] Steps: 1916541, v_avg: -70.00
[5h23m] Steps: 1922494, v_avg: -70.00
[5h24m] Steps: 1928444, v_avg: -70.00
[5h25m] Steps: 1934397, v_avg: -70.00
[5h26m] Steps: 1940351, v_avg: -70.00
[5h27m] Steps: 1946305, v_avg: -70.00
[5h28m] Steps: 1952256, v_avg: -70.00
[5h29m] Steps: 1958209, v_avg: -70.00
[5h30m] Steps: 1964162, v_avg: -70.00
[5h31m] Steps: 1970115, v_avg: -70.00
[5h32m] Steps: 1976068, v_avg: -70.00
[5h33m] Steps: 1982021, v_avg: -70.00
[5h34m] Steps: 1987973, v_avg: -70.00
[5h35m] Steps: 1993927, v_avg: -70.00
[5h36m] Steps: 1999881, v_avg: -70.00
[5h37m] Steps: 2005835, v_avg: -70.00
[5h38m] Steps: 2011787, v_avg: -70.00
[5h39m] Steps: 2017740, v_avg: -70.00
[5h40m] Steps: 2023692, v_avg: -70.00
[5h41m] Steps: 2029646, v_avg: -70.00
[5h42m] Steps: 2035600, v_avg: -70.00
[5h43m] Steps: 2041553, v_avg: -70.00
[5h44m] Steps: 2047505, v_avg: -70.00
[5h45m] Steps: 2053458, v_avg: -70.00
[5h46m] Steps: 2059413, v_avg: -70.00
[5h47m] Steps: 2065366, v_avg: -70.00
[5h48m] Steps: 2071319, v_avg: -70.00
[5h49m] Steps: 2077271, v_avg: -70.00
[5h50m] Steps: 2083225, v_avg: -70.00
[5h51m] Steps: 2089178, v_avg: -70.00
[5h52m] Steps: 2095132, v_avg: -70.00
[5h53m] Steps: 2101085, v_avg: -70.00
[5h54m] Steps: 2107038, v_avg: -70.00
[5h55m] Steps: 2112990, v_avg: -70.00
[5h56m] Steps: 2118942, v_avg: -70.00
[5h57m] Steps: 2124894, v_avg: -70.00
[5h58m] Steps: 2130848, v_avg: -70.00
[5h59m] Steps: 2136802, v_avg: -70.00

✅ CONTROL BURN COMPLETE
Total steps: 2142755
Total time: 21600 seconds
Mode: CPU-only (Control Group)
